%time,field.data
1635234594472905188,0
1635234594506654068,0
1635234594540510171,0
1635234594573392130,0
1635234594613258346,0
1635234594639875799,0
1635234594673889363,0
1635234594706908275,0
1635234594740600919,0
1635234594774290456,0
1635234594808891313,0
1635234594842287600,0
1635234594874746320,0
1635234594912403198,0
1635234594942681427,0
1635234594975327344,0
1635234595009669215,0
1635234595043575009,0
1635234595075635139,0
1635234595109143133,0
1635234595143448804,0
1635234595176120246,0
1635234595209558523,0
1635234595243997901,0
1635234595276557871,0
1635234595310810275,0
1635234595343464135,0
1635234595377247777,0
1635234595410330217,0
1635234595443901809,0
1635234595477653161,0
1635234595511198061,0
1635234595545163705,0
1635234595578196503,0
1635234595612484129,0
1635234595645578157,0
1635234595678339859,0
1635234595711944864,0
1635234595746110922,0
1635234595778827763,0
1635234595812115305,0
1635234595846357141,0
1635234595879313500,0
1635234595912755510,0
1635234595946093911,0
1635234595980014880,0
1635234596013108525,0
1635234596047364997,0
1635234596080458879,0
1635234596114246310,0
1635234596147950238,0
1635234596180835255,0
1635234596215162497,0
1635234596247952701,0
1635234596281061308,0
1635234596315349503,0
1635234596348495793,0
1635234596381462044,0
1635234596415776866,0
1635234596448990125,0
1635234596482797888,0
1635234596516333547,0
1635234596549437363,0
1635234596583710815,0
1635234596615985455,0
1635234596650099494,0
1635234596685602268,0
1635234596717838553,0
1635234596751053463,0
1635234596783647980,0
1635234596817812709,0
1635234596851205922,0
1635234596884003037,0
1635234596917632329,0
1635234596951610911,0
1635234596984433239,0
1635234597018729067,0
1635234597051870785,0
1635234597085039549,0
1635234597119406546,0
1635234597151710630,0
1635234597185204954,0
